,franquicia,movie_count,ganancia_total,ganancia_promedio
246,Mimic Collection,1,100523181.0,100523181.0
247,Mirrors Collection,1,73762516.0,73762516.0
248,Miss Congeniality Collection,1,8524534.0,8524534.0
249,Missing in Action Collection,1,20603715.0,20603715.0
250,Mission: Impossible Collection,3,460382174.0,153460724.66666666
251,Monster High Collection,1,194564672.0,194564672.0
252,"Monsters, Inc. Collection",1,89328627.0,89328627.0
253,Mortal Kombat Collection,1,122195920.0,122195920.0
254,Moskva-Kassiopeya Collection,1,16002420.0,16002420.0
255,Mr. Bean Collection,1,85300000.0,85300000.0
256,Mr. Moto Collection,1,111731.0,111731.0
257,Naked Collection,1,3200000.0,3200000.0
258,Naked Fear Collection,1,381509870.0,381509870.0
259,Naked Gun Collection,2,61169988.0,30584994.0
260,Nana Collection,1,62788218.0,62788218.0
261,National Treasure Collection,1,24829644.0,24829644.0
262,Never Back Down Collection,2,51015425.0,25507712.5
